condition,run,timestep,action_index,value
RANDOM_NOISE,0,6,9,0.20912541449069977
RANDOM_NOISE,0,6,10,-1.9820529222488403
RANDOM_NOISE,0,6,11,-1.4192626476287842
RANDOM_NOISE,0,6,12,-1.1419181823730469
RANDOM_NOISE,0,6,13,-0.06402505934238434
RANDOM_NOISE,0,6,14,0.966754674911499
RANDOM_NOISE,0,6,15,0.9873430728912354
RANDOM_NOISE,0,7,0,0.2674975097179413
RANDOM_NOISE,0,7,1,-1.1256966590881348
RANDOM_NOISE,0,7,2,-0.26555266976356506
RANDOM_NOISE,0,7,3,-2.0084598064422607
RANDOM_NOISE,0,7,4,1.3031284809112549
RANDOM_NOISE,0,7,5,-1.1291191577911377
RANDOM_NOISE,0,7,6,-0.08915264904499054
RANDOM_NOISE,0,7,7,0.23241926729679108
RANDOM_NOISE,0,7,8,1.1057440042495728
RANDOM_NOISE,0,7,9,0.21457116305828094
RANDOM_NOISE,0,7,10,-1.9856493473052979
RANDOM_NOISE,0,7,11,-1.439173936843872
RANDOM_NOISE,0,7,12,-1.142889142036438
RANDOM_NOISE,0,7,13,-0.05679963529109955
RANDOM_NOISE,0,7,14,0.9638224840164185
RANDOM_NOISE,0,7,15,0.992307722568512
RANDOM_NOISE,0,8,0,0.2693922221660614
RANDOM_NOISE,0,8,1,-1.1290714740753174
RANDOM_NOISE,0,8,2,-0.25512945652008057
RANDOM_NOISE,0,8,3,-2.0134437084198
RANDOM_NOISE,0,8,4,1.3149495124816895
RANDOM_NOISE,0,8,5,-1.1300849914550781
RANDOM_NOISE,0,8,6,-0.08653062582015991
RANDOM_NOISE,0,8,7,0.22657941281795502
RANDOM_NOISE,0,8,8,1.120603322982788
RANDOM_NOISE,0,8,9,0.2268029898405075
RANDOM_NOISE,0,8,10,-1.9928861856460571
RANDOM_NOISE,0,8,11,-1.4171507358551025
RANDOM_NOISE,0,8,12,-1.1476759910583496
RANDOM_NOISE,0,8,13,-0.05375455319881439
RANDOM_NOISE,0,8,14,0.9683248996734619
RANDOM_NOISE,0,8,15,0.9942110776901245
RANDOM_NOISE,0,9,0,0.27341359853744507
RANDOM_NOISE,0,9,1,-1.1273596286773682
RANDOM_NOISE,0,9,2,-0.2582462430000305
RANDOM_NOISE,0,9,3,-2.015864610671997
RANDOM_NOISE,0,9,4,1.3180642127990723
RANDOM_NOISE,0,9,5,-1.1307926177978516
RANDOM_NOISE,0,9,6,-0.09487715363502502
RANDOM_NOISE,0,9,7,0.21648116409778595
RANDOM_NOISE,0,9,8,1.130663275718689
RANDOM_NOISE,0,9,9,0.22023750841617584
RANDOM_NOISE,0,9,10,-2.0012075901031494
RANDOM_NOISE,0,9,11,-1.4448609352111816
RANDOM_NOISE,0,9,12,-1.1466476917266846
RANDOM_NOISE,0,9,13,-0.04358780384063721
RANDOM_NOISE,0,9,14,0.9595560431480408
RANDOM_NOISE,0,9,15,0.9982672333717346
RANDOM_NOISE,0,10,0,0.2648659646511078
RANDOM_NOISE,0,10,1,-1.1266103982925415
RANDOM_NOISE,0,10,2,-0.2514503300189972
RANDOM_NOISE,0,10,3,-2.011366605758667
RANDOM_NOISE,0,10,4,1.3229749202728271
RANDOM_NOISE,0,10,5,-1.130228877067566
RANDOM_NOISE,0,10,6,-0.08796043694019318
RANDOM_NOISE,0,10,7,0.19280926883220673
RANDOM_NOISE,0,10,8,1.1346843242645264
RANDOM_NOISE,0,10,9,0.22226913273334503
RANDOM_NOISE,0,10,10,-2.0043346881866455
RANDOM_NOISE,0,10,11,-1.442419171333313
RANDOM_NOISE,0,10,12,-1.161565899848938
RANDOM_NOISE,0,10,13,-0.04250679910182953
RANDOM_NOISE,0,10,14,0.9717528820037842
RANDOM_NOISE,0,10,15,1.00612211227417
RANDOM_NOISE,0,11,0,0.26351261138916016
RANDOM_NOISE,0,11,1,-1.1196928024291992
RANDOM_NOISE,0,11,2,-0.25820252299308777
RANDOM_NOISE,0,11,3,-2.0111758708953857
RANDOM_NOISE,0,11,4,1.3198378086090088
RANDOM_NOISE,0,11,5,-1.1336263418197632
RANDOM_NOISE,0,11,6,-0.08355112373828888
RANDOM_NOISE,0,11,7,0.1954687088727951
RANDOM_NOISE,0,11,8,1.1382150650024414
RANDOM_NOISE,0,11,9,0.22883538901805878
RANDOM_NOISE,0,11,10,-2.008925676345825
RANDOM_NOISE,0,11,11,-1.4277982711791992
RANDOM_NOISE,0,11,12,-1.1671226024627686
RANDOM_NOISE,0,11,13,-0.0353788286447525
RANDOM_NOISE,0,11,14,0.9679310917854309
RANDOM_NOISE,0,11,15,1.0005221366882324
RANDOM_NOISE,0,12,0,0.2640005350112915
RANDOM_NOISE,0,12,1,-1.130492925643921
RANDOM_NOISE,0,12,2,-0.2552639842033386
RANDOM_NOISE,0,12,3,-2.0174200534820557
RANDOM_NOISE,0,12,4,1.3151782751083374
RANDOM_NOISE,0,12,5,-1.1289983987808228
RANDOM_NOISE,0,12,6,-0.09212704002857208
RANDOM_NOISE,0,12,7,0.1864321380853653
RANDOM_NOISE,0,12,8,1.143726110458374
RANDOM_NOISE,0,12,9,0.22558434307575226
RANDOM_NOISE,0,12,10,-2.007763624191284
RANDOM_NOISE,0,12,11,-1.4407079219818115
RANDOM_NOISE,0,12,12,-1.19512939453125
RANDOM_NOISE,0,12,13,-0.02051202952861786
RANDOM_NOISE,0,12,14,0.9591718316078186
RANDOM_NOISE,0,12,15,0.9979345202445984
RANDOM_NOISE,0,13,0,0.2634965181350708
RANDOM_NOISE,0,13,1,-1.1294907331466675
RANDOM_NOISE,0,13,2,-0.26706773042678833
RANDOM_NOISE,0,13,3,-2.0114378929138184
RANDOM_NOISE,0,13,4,1.3004570007324219
RANDOM_NOISE,0,13,5,-1.132513165473938
RANDOM_NOISE,0,13,6,-0.08949925005435944
RANDOM_NOISE,0,13,7,0.17699284851551056
RANDOM_NOISE,0,13,8,1.1517078876495361
RANDOM_NOISE,0,13,9,0.22389383614063263
RANDOM_NOISE,0,13,10,-2.007354497909546
RANDOM_NOISE,0,13,11,-1.4540644884109497
RANDOM_NOISE,0,13,12,-1.1913480758666992
RANDOM_NOISE,0,13,13,-0.014582589268684387
RANDOM_NOISE,0,13,14,0.963783860206604
RANDOM_NOISE,0,13,15,0.9896546602249146
RANDOM_NOISE,0,14,0,0.2719241678714752
RANDOM_NOISE,0,14,1,-1.1201239824295044
RANDOM_NOISE,0,14,2,-0.2554813623428345
RANDOM_NOISE,0,14,3,-2.0189292430877686
RANDOM_NOISE,0,14,4,1.300917148590088
RANDOM_NOISE,0,14,5,-1.1305383443832397
RANDOM_NOISE,0,14,6,-0.10007336735725403
RANDOM_NOISE,0,14,7,0.18388302624225616
RANDOM_NOISE,0,14,8,1.1663048267364502
RANDOM_NOISE,0,14,9,0.21780084073543549
RANDOM_NOISE,0,14,10,-2.00927472114563
RANDOM_NOISE,0,14,11,-1.4435820579528809
RANDOM_NOISE,0,14,12,-1.1873027086257935
RANDOM_NOISE,0,14,13,-0.016396567225456238
RANDOM_NOISE,0,14,14,0.9564216136932373
RANDOM_NOISE,0,14,15,0.9986534118652344
RANDOM_NOISE,0,15,0,0.2698689103126526
RANDOM_NOISE,0,15,1,-1.133126974105835
RANDOM_NOISE,0,15,2,-0.25504669547080994
RANDOM_NOISE,0,15,3,-2.0223214626312256
RANDOM_NOISE,0,15,4,1.302512764930725
RANDOM_NOISE,0,15,5,-1.1260563135147095
RANDOM_NOISE,0,15,6,-0.09444454312324524
RANDOM_NOISE,0,15,7,0.17801745235919952
RANDOM_NOISE,0,15,8,1.1761269569396973
RANDOM_NOISE,0,15,9,0.20363099873065948
RANDOM_NOISE,0,15,10,-2.0230441093444824
RANDOM_NOISE,0,15,11,-1.4786521196365356
RANDOM_NOISE,0,15,12,-1.2090643644332886
RANDOM_NOISE,0,15,13,0.005248308181762695
RANDOM_NOISE,0,15,14,0.9543813467025757
RANDOM_NOISE,0,15,15,0.998320996761322
RANDOM_NOISE,0,16,0,0.27018269896507263
RANDOM_NOISE,0,16,1,-1.1310912370681763
RANDOM_NOISE,0,16,2,-0.2588287889957428
RANDOM_NOISE,0,16,3,-2.0207643508911133
RANDOM_NOISE,0,16,4,1.3145179748535156
RANDOM_NOISE,0,16,5,-1.127431869506836
RANDOM_NOISE,0,16,6,-0.09782794117927551
RANDOM_NOISE,0,16,7,0.17795459926128387
RANDOM_NOISE,0,16,8,1.168453574180603
RANDOM_NOISE,0,16,9,0.20370322465896606
RANDOM_NOISE,0,16,10,-2.0202198028564453
RANDOM_NOISE,0,16,11,-1.4623264074325562
RANDOM_NOISE,0,16,12,-1.2072268724441528
RANDOM_NOISE,0,16,13,0.0027866363525390625
RANDOM_NOISE,0,16,14,0.9572432041168213
RANDOM_NOISE,0,16,15,0.9941786527633667
RANDOM_NOISE,0,17,0,0.2699606418609619
RANDOM_NOISE,0,17,1,-1.1319528818130493
RANDOM_NOISE,0,17,2,-0.2547760605812073
RANDOM_NOISE,0,17,3,-2.025411605834961
RANDOM_NOISE,0,17,4,1.30254065990448
RANDOM_NOISE,0,17,5,-1.1280944347381592
RANDOM_NOISE,0,17,6,-0.09580504894256592
RANDOM_NOISE,0,17,7,0.16468526422977448
RANDOM_NOISE,0,17,8,1.1725753545761108
RANDOM_NOISE,0,17,9,0.20188654959201813
RANDOM_NOISE,0,17,10,-2.009467601776123
RANDOM_NOISE,0,17,11,-1.4682049751281738
RANDOM_NOISE,0,17,12,-1.2213728427886963
RANDOM_NOISE,0,17,13,0.007078543305397034
RANDOM_NOISE,0,17,14,0.951106071472168
RANDOM_NOISE,0,17,15,0.9994730353355408
RANDOM_NOISE,0,18,0,0.274361789226532
RANDOM_NOISE,0,18,1,-1.130476713180542
RANDOM_NOISE,0,18,2,-0.2553102672100067
RANDOM_NOISE,0,18,3,-2.010916233062744
RANDOM_NOISE,0,18,4,1.303775668144226
RANDOM_NOISE,0,18,5,-1.1291357278823853
RANDOM_NOISE,0,18,6,-0.0909050703048706
RANDOM_NOISE,0,18,7,0.16512031853199005
RANDOM_NOISE,0,18,8,1.1687525510787964
RANDOM_NOISE,0,18,9,0.1916089802980423
