metric,RANDOM_NOISE,FIXED_NOISE
Across-run mean std,0.01955074700701516,0.0
Across-run p95 std,0.0699993159621954,0.0
Across-run max std,0.09660695493221283,0.0
Within-chunk delta q p95,0.049191848933696734,0.05378267914056778
Within-chunk delta q max,0.11690796911716461,0.05611683428287506
Within-chunk delta^2 q p95,0.0528999112546444,0.05283474922180176
Within-chunk delta^2 q max,0.13374903798103333,0.059415340423583984
Right-arm oscillation ratio,0.8500570125427594,0.90625
Left-arm oscillation ratio,0.3006705602422669,0.2411764705882353
