condition,stage,scope,action_index,ratio,eligible_pairs
RANDOM_NOISE,robot_unit,arms,4,0.8009592326139089,417
RANDOM_NOISE,robot_unit,arms,5,1.0,39
RANDOM_NOISE,robot_unit,arms,6,0.8193548387096774,310
RANDOM_NOISE,robot_unit,arms,7,0.27324913892078073,871
RANDOM_NOISE,robot_unit,arms,8,0.4189189189189189,444
RANDOM_NOISE,robot_unit,arms,9,0.2718579234972678,732
RANDOM_NOISE,robot_unit,arms,10,0.23325062034739455,403
RANDOM_NOISE,robot_unit,arms,11,0.3463687150837989,895
RANDOM_NOISE,robot_unit,arms,12,0.2633279483037157,619
RANDOM_NOISE,robot_unit,arms,13,0.30349013657056145,659
FIXED_NOISE,raw_policy,all,0,0.72,750
FIXED_NOISE,raw_policy,all,1,0.6666666666666666,810
FIXED_NOISE,raw_policy,all,2,0.7037037037037037,810
FIXED_NOISE,raw_policy,all,3,0.76,750
FIXED_NOISE,raw_policy,all,4,0.8181818181818182,660
FIXED_NOISE,raw_policy,all,5,0.8181818181818182,990
FIXED_NOISE,raw_policy,all,6,0.7575757575757576,990
FIXED_NOISE,raw_policy,all,7,0.16666666666666666,1080
FIXED_NOISE,raw_policy,all,8,0.53125,960
FIXED_NOISE,raw_policy,all,9,0.17142857142857143,1050
FIXED_NOISE,raw_policy,all,10,0.2564102564102564,1170
FIXED_NOISE,raw_policy,all,11,0.39285714285714285,840
FIXED_NOISE,raw_policy,all,12,0.43902439024390244,1230
FIXED_NOISE,raw_policy,all,13,0.24390243902439024,1230
FIXED_NOISE,raw_policy,all,14,0.71875,960
FIXED_NOISE,raw_policy,all,15,0.72,750
FIXED_NOISE,raw_policy,right_arm,0,0.72,750
FIXED_NOISE,raw_policy,right_arm,1,0.6666666666666666,810
FIXED_NOISE,raw_policy,right_arm,2,0.7037037037037037,810
FIXED_NOISE,raw_policy,right_arm,3,0.76,750
FIXED_NOISE,raw_policy,right_arm,4,0.8181818181818182,660
FIXED_NOISE,raw_policy,right_arm,5,0.8181818181818182,990
FIXED_NOISE,raw_policy,right_arm,6,0.7575757575757576,990
FIXED_NOISE,raw_policy,left_arm,7,0.16666666666666666,1080
FIXED_NOISE,raw_policy,left_arm,8,0.53125,960
FIXED_NOISE,raw_policy,left_arm,9,0.17142857142857143,1050
FIXED_NOISE,raw_policy,left_arm,10,0.2564102564102564,1170
FIXED_NOISE,raw_policy,left_arm,11,0.39285714285714285,840
FIXED_NOISE,raw_policy,left_arm,12,0.43902439024390244,1230
FIXED_NOISE,raw_policy,left_arm,13,0.24390243902439024,1230
FIXED_NOISE,raw_policy,gripper,14,0.71875,960
FIXED_NOISE,raw_policy,gripper,15,0.72,750
FIXED_NOISE,raw_policy,arms,0,0.72,750
FIXED_NOISE,raw_policy,arms,1,0.6666666666666666,810
FIXED_NOISE,raw_policy,arms,2,0.7037037037037037,810
FIXED_NOISE,raw_policy,arms,3,0.76,750
FIXED_NOISE,raw_policy,arms,4,0.8181818181818182,660
FIXED_NOISE,raw_policy,arms,5,0.8181818181818182,990
FIXED_NOISE,raw_policy,arms,6,0.7575757575757576,990
