condition,stage,run,rmse_vs_run0,l2_vs_run0,max_abs_vs_run0
RANDOM_NOISE,raw_policy,1,0.0997820645570755,2.82226300239563,0.6883394718170166
RANDOM_NOISE,raw_policy,2,0.13486070930957794,3.814436674118042,0.7432703375816345
RANDOM_NOISE,raw_policy,3,0.09717198461294174,2.748438835144043,0.6337559223175049
RANDOM_NOISE,raw_policy,4,0.10063140094280243,2.846285581588745,0.7509812116622925
RANDOM_NOISE,raw_policy,5,0.1161896288394928,3.286339044570923,0.8354819416999817
RANDOM_NOISE,raw_policy,6,0.08808734267950058,2.4914863109588623,0.5084613561630249
RANDOM_NOISE,raw_policy,7,0.102452851831913,2.8978042602539062,0.7380796670913696
RANDOM_NOISE,raw_policy,8,0.11571213603019714,3.2728335857391357,0.7737584710121155
RANDOM_NOISE,raw_policy,9,0.13224518299102783,3.7404589653015137,1.0514897108078003
RANDOM_NOISE,raw_policy,10,0.08400508016347885,2.3760228157043457,0.4549512267112732
RANDOM_NOISE,raw_policy,11,0.07912672311067581,2.238041639328003,0.4795295298099518
RANDOM_NOISE,raw_policy,12,0.09234079718589783,2.6117920875549316,0.6518696546554565
RANDOM_NOISE,raw_policy,13,0.09903588145971298,2.8011579513549805,0.7276469469070435
RANDOM_NOISE,raw_policy,14,0.11459975689649582,3.241370439529419,0.41461414098739624
RANDOM_NOISE,raw_policy,15,0.0933290496468544,2.6397440433502197,0.4097740054130554
RANDOM_NOISE,raw_policy,16,0.09628700464963913,2.723407745361328,0.5750949382781982
RANDOM_NOISE,raw_policy,17,0.10076870769262314,2.8501696586608887,0.5071941614151001
RANDOM_NOISE,raw_policy,18,0.09263071417808533,2.619992256164551,0.6526459455490112
RANDOM_NOISE,raw_policy,19,0.12940536439418793,3.6601369380950928,0.620216965675354
RANDOM_NOISE,raw_policy,20,0.09124348312616348,2.5807554721832275,0.5352375507354736
RANDOM_NOISE,raw_policy,21,0.11871075630187988,3.357647180557251,0.46617788076400757
RANDOM_NOISE,raw_policy,22,0.07752107083797455,2.192626714706421,0.38605332374572754
RANDOM_NOISE,raw_policy,23,0.08550854027271271,2.4185469150543213,0.6694046258926392
RANDOM_NOISE,raw_policy,24,0.08775509148836136,2.482088565826416,0.7540410757064819
RANDOM_NOISE,raw_policy,25,0.08941130340099335,2.52893328666687,0.45470190048217773
RANDOM_NOISE,raw_policy,26,0.09938856214284897,2.8111331462860107,0.5101473927497864
RANDOM_NOISE,raw_policy,27,0.08904550969600677,2.518587350845337,0.6276729106903076
RANDOM_NOISE,raw_policy,28,0.08591333776712418,2.4299962520599365,0.4807506203651428
