num_steps,stage,scope,metric,value
10,raw_policy,arms,across_run_std_p99,0.0
10,raw_policy,arms,across_run_std_min,0.0
10,raw_policy,arms,across_run_std_max,0.0
10,raw_policy,arms,within_chunk_delta_mean,0.06538931470440358
10,raw_policy,arms,within_chunk_delta_median,0.058819979429244995
10,raw_policy,arms,within_chunk_delta_p90,0.09861629605293275
10,raw_policy,arms,within_chunk_delta_p95,0.12073243856430034
10,raw_policy,arms,within_chunk_delta_p99,0.15154329538345335
10,raw_policy,arms,within_chunk_delta_min,0.02135157585144043
10,raw_policy,arms,within_chunk_delta_max,0.1530805230140686
10,raw_policy,arms,within_chunk_second_delta_mean,0.08323292550630867
10,raw_policy,arms,within_chunk_second_delta_median,0.076954185962677
10,raw_policy,arms,within_chunk_second_delta_p90,0.12217343822121622
10,raw_policy,arms,within_chunk_second_delta_p95,0.14499411880969998
10,raw_policy,arms,within_chunk_second_delta_p99,0.16526239365339282
10,raw_policy,arms,within_chunk_second_delta_min,0.042416930198669434
10,raw_policy,arms,within_chunk_second_delta_max,0.17551103234291077
10,raw_policy,arms,oscillation_ratio,0.5643776824034334
10,robot_unit,all,across_run_std_mean,0.0
10,robot_unit,all,across_run_std_median,0.0
10,robot_unit,all,across_run_std_p90,0.0
10,robot_unit,all,across_run_std_p95,0.0
10,robot_unit,all,across_run_std_p99,0.0
10,robot_unit,all,across_run_std_min,0.0
10,robot_unit,all,across_run_std_max,0.0
10,robot_unit,all,within_chunk_delta_mean,0.024143493563240886
10,robot_unit,all,within_chunk_delta_median,0.021495938301086426
10,robot_unit,all,within_chunk_delta_p90,0.03965020477771759
10,robot_unit,all,within_chunk_delta_p95,0.04250787794589995
10,robot_unit,all,within_chunk_delta_p99,0.04850063920021057
10,robot_unit,all,within_chunk_delta_min,0.007356002926826477
10,robot_unit,all,within_chunk_delta_max,0.04920223355293274
10,robot_unit,all,within_chunk_second_delta_mean,0.03017461361984412
10,robot_unit,all,within_chunk_second_delta_median,0.02766585350036621
10,robot_unit,all,within_chunk_second_delta_p90,0.04498633742332459
10,robot_unit,all,within_chunk_second_delta_p95,0.047820198535919185
10,robot_unit,all,within_chunk_second_delta_p99,0.05655174985527994
10,robot_unit,all,within_chunk_second_delta_min,0.013342499732971191
10,robot_unit,all,within_chunk_second_delta_max,0.06348927319049835
10,robot_unit,all,oscillation_ratio,0.5393258426966292
10,robot_unit,right_arm,across_run_std_mean,0.0
10,robot_unit,right_arm,across_run_std_median,0.0
10,robot_unit,right_arm,across_run_std_p90,0.0
10,robot_unit,right_arm,across_run_std_p95,0.0
10,robot_unit,right_arm,across_run_std_p99,0.0
10,robot_unit,right_arm,across_run_std_min,0.0
10,robot_unit,right_arm,across_run_std_max,0.0
10,robot_unit,right_arm,within_chunk_delta_mean,0.012278217442181646
10,robot_unit,right_arm,within_chunk_delta_median,0.011100858449935913
10,robot_unit,right_arm,within_chunk_delta_p90,0.01732394695281983
10,robot_unit,right_arm,within_chunk_delta_p95,0.023507520556449887
10,robot_unit,right_arm,within_chunk_delta_p99,0.02961383700370788
10,robot_unit,right_arm,within_chunk_delta_min,0.004472017288208008
10,robot_unit,right_arm,within_chunk_delta_max,0.02999219298362732
10,robot_unit,right_arm,within_chunk_second_delta_mean,0.0214098837847511
10,robot_unit,right_arm,within_chunk_second_delta_median,0.021587908267974854
10,robot_unit,right_arm,within_chunk_second_delta_p90,0.03078097105026246
10,robot_unit,right_arm,within_chunk_second_delta_p95,0.044251833111047745
10,robot_unit,right_arm,within_chunk_second_delta_p99,0.05001162812113762
10,robot_unit,right_arm,within_chunk_second_delta_min,0.004477649927139282
10,robot_unit,right_arm,within_chunk_second_delta_max,0.05297647416591644
10,robot_unit,right_arm,oscillation_ratio,0.8809523809523809
10,robot_unit,left_arm,across_run_std_mean,0.0
10,robot_unit,left_arm,across_run_std_median,0.0
10,robot_unit,left_arm,across_run_std_p90,0.0
10,robot_unit,left_arm,across_run_std_p95,0.0
10,robot_unit,left_arm,across_run_std_p99,0.0
10,robot_unit,left_arm,across_run_std_min,0.0
10,robot_unit,left_arm,across_run_std_max,0.0
10,robot_unit,left_arm,within_chunk_delta_mean,0.023429165651299516
10,robot_unit,left_arm,within_chunk_delta_median,0.019733786582946777
10,robot_unit,left_arm,within_chunk_delta_p90,0.03965020477771759
10,robot_unit,left_arm,within_chunk_delta_p95,0.04250787794589995
10,robot_unit,left_arm,within_chunk_delta_p99,0.04850063920021057
10,robot_unit,left_arm,within_chunk_delta_min,0.005550980567932129
10,robot_unit,left_arm,within_chunk_delta_max,0.04920223355293274
10,robot_unit,left_arm,within_chunk_second_delta_mean,0.02770584433649977
10,robot_unit,left_arm,within_chunk_second_delta_median,0.02538442611694336
10,robot_unit,left_arm,within_chunk_second_delta_p90,0.04053692817687989
10,robot_unit,left_arm,within_chunk_second_delta_p95,0.047716850042343134
10,robot_unit,left_arm,within_chunk_second_delta_p99,0.05655174985527994
10,robot_unit,left_arm,within_chunk_second_delta_min,0.01094365119934082
10,robot_unit,left_arm,within_chunk_second_delta_max,0.06348927319049835
10,robot_unit,left_arm,oscillation_ratio,0.3231707317073171
10,robot_unit,gripper,across_run_std_mean,0.0
10,robot_unit,gripper,across_run_std_median,0.0
10,robot_unit,gripper,across_run_std_p90,0.0
10,robot_unit,gripper,across_run_std_p95,0.0
10,robot_unit,gripper,across_run_std_p99,0.0
10,robot_unit,gripper,across_run_std_min,0.0
10,robot_unit,gripper,across_run_std_max,0.0
10,robot_unit,gripper,within_chunk_delta_mean,0.007469974002059625
10,robot_unit,gripper,within_chunk_delta_median,0.006959438323974609
10,robot_unit,gripper,within_chunk_delta_p90,0.011556100845336922
10,robot_unit,gripper,within_chunk_delta_p95,0.015474355220794664
10,robot_unit,gripper,within_chunk_delta_p99,0.01948889970779418
10,robot_unit,gripper,within_chunk_delta_min,0.001622915267944336
10,robot_unit,gripper,within_chunk_delta_max,0.020376503467559814
10,robot_unit,gripper,within_chunk_second_delta_mean,0.012399036437273026
10,robot_unit,gripper,within_chunk_second_delta_median,0.011791825294494629
10,robot_unit,gripper,within_chunk_second_delta_p90,0.022477704286575324
10,robot_unit,gripper,within_chunk_second_delta_p95,0.026120331883430475
10,robot_unit,gripper,within_chunk_second_delta_p99,0.030393508076667786
10,robot_unit,gripper,within_chunk_second_delta_min,0.0018784403800964355
10,robot_unit,gripper,within_chunk_second_delta_max,0.030496180057525635
10,robot_unit,gripper,oscillation_ratio,0.8947368421052632
10,robot_unit,arms,across_run_std_mean,0.0
10,robot_unit,arms,across_run_std_median,0.0
10,robot_unit,arms,across_run_std_p90,0.0
10,robot_unit,arms,across_run_std_p95,0.0
10,robot_unit,arms,across_run_std_p99,0.0
10,robot_unit,arms,across_run_std_min,0.0
10,robot_unit,arms,across_run_std_max,0.0
10,robot_unit,arms,within_chunk_delta_mean,0.024067466622408554
10,robot_unit,arms,within_chunk_delta_median,0.021495938301086426
10,robot_unit,arms,within_chunk_delta_p90,0.03965020477771759
10,robot_unit,arms,within_chunk_delta_p95,0.04250787794589995
10,robot_unit,arms,within_chunk_delta_p99,0.04850063920021057
10,robot_unit,arms,within_chunk_delta_min,0.007356002926826477
10,robot_unit,arms,within_chunk_delta_max,0.04920223355293274
10,robot_unit,arms,within_chunk_second_delta_mean,0.02999626441548268
10,robot_unit,arms,within_chunk_second_delta_median,0.02766585350036621
10,robot_unit,arms,within_chunk_second_delta_p90,0.04498633742332459
10,robot_unit,arms,within_chunk_second_delta_p95,0.047820198535919185
10,robot_unit,arms,within_chunk_second_delta_p99,0.05655174985527994
10,robot_unit,arms,within_chunk_second_delta_min,0.013342499732971191
10,robot_unit,arms,within_chunk_second_delta_max,0.06348927319049835
10,robot_unit,arms,oscillation_ratio,0.5120967741935484
20,raw_policy,all,across_run_std_mean,0.0
20,raw_policy,all,across_run_std_median,0.0
20,raw_policy,all,across_run_std_p90,0.0
20,raw_policy,all,across_run_std_p95,0.0
20,raw_policy,all,across_run_std_p99,0.0
20,raw_policy,all,across_run_std_min,0.0
20,raw_policy,all,across_run_std_max,0.0
20,raw_policy,all,within_chunk_delta_mean,0.06660731889459552
20,raw_policy,all,within_chunk_delta_median,0.06162381172180176
20,raw_policy,all,within_chunk_delta_p90,0.11345646381378174
